date,ticker,action,chosen_net,hold_net,incremental,rebuy_date,down_5pct,up_5pct
2026-05-12,EMR,HOLD,-0.04532740838270799,-0.04532740838270799,0.0,,True,False
2026-05-13,CARR,HOLD,-0.037952900196880135,-0.037952900196880135,0.0,,True,False
2026-05-13,ETN,HOLD,-0.07490424156686748,-0.07490424156686748,0.0,,True,False
2026-05-14,DOCU,SELL_WAIT_REBUY,-0.001,0.06379669493368112,-0.06479669493368112,,False,True
2026-05-14,INTU,SELL_WAIT_REBUY,-0.001,-0.2027209779938388,0.2017209779938388,,True,True
2026-05-14,PAYC,HOLD,-0.014438096636804287,-0.014438096636804287,0.0,,False,True
2026-05-14,PLTR,HOLD,0.033751506024096156,0.033751506024096156,0.0,,False,False
2026-05-14,SHOP,SELL_WAIT_REBUY,-0.001,0.07448717948717942,-0.07548717948717942,,False,True
2026-05-15,AVGO,HOLD,-0.01825160769796641,-0.01825160769796641,0.0,,False,False
2026-05-18,GEV,SELL_WAIT_REBUY,-0.001,0.07560665795031685,-0.07660665795031685,,False,True
2026-05-18,PWR,SELL_WAIT_REBUY,-0.001,0.04971068576929605,-0.05071068576929605,,False,True
2026-05-18,TT,HOLD,0.00752403121106815,0.00752403121106815,0.0,,False,False
2026-05-18,VRT,SELL_WAIT_REBUY,-0.001,-0.018501819946614817,0.017501819946614816,,False,False
2026-05-19,APH,SELL_WAIT_REBUY,-0.001,0.16795890639326505,-0.16895890639326505,,False,True
2026-05-20,GOOGL,HOLD,0.010485610578169546,0.010485610578169546,0.0,,False,False
2026-05-21,TWLO,SELL_WAIT_REBUY,-0.001,0.0191198630136985,-0.020119863013698502,,False,False
2026-05-27,NEE,HOLD,-0.03668578269296541,-0.03668578269296541,0.0,,False,False
2026-05-28,ONTO,HOLD,0.05252760736196305,0.05252760736196305,0.0,,False,True
2026-06-05,CEG,SELL_WAIT_REBUY,0.012730696873874184,-0.01011771022472141,0.022848407098595595,2026-06-12,True,False
2026-06-08,SNPS,HOLD,-0.04603898614993385,-0.04603898614993385,0.0,,True,False
2026-06-09,DLR,HOLD,0.03270603560573149,0.03270603560573149,0.0,,False,False
2026-06-09,FIX,HOLD,0.05090436933223408,0.05090436933223408,0.0,,True,True
2026-06-09,MCHP,HOLD,0.05855348734142163,0.05855348734142163,0.0,,False,True
2026-06-09,NXPI,HOLD,0.037966830171851984,0.037966830171851984,0.0,,False,True
2026-06-09,QRVO,HOLD,-0.012061040557148739,-0.012061040557148739,0.0,,False,False
2026-06-09,SWKS,HOLD,-0.0167111356119074,-0.0167111356119074,0.0,,False,True
2026-06-09,TER,HOLD,0.13524692934367766,0.13524692934367766,0.0,,False,True
2026-06-09,TXN,HOLD,0.06858925197676846,0.06858925197676846,0.0,,False,True
2026-06-10,META,HOLD,0.002092801724899674,0.002092801724899674,0.0,,False,True
2026-06-11,ADBE,SELL_WAIT_REBUY,-0.001,-0.03677075098814231,0.03577075098814231,,True,False
2026-06-15,INTU,SELL_WAIT_REBUY,-0.001,-0.08657760453579011,0.08557760453579011,,True,False
2026-06-16,OKTA,HOLD,0.02941362530413627,0.02941362530413627,0.0,,True,True
2026-06-17,DDOG,HOLD,-0.014836814854490288,-0.014836814854490288,0.0,,True,False
